source_url|year|project_no|project_name_and_description|sector|type|ward_location_raw
https://www.chamacouncil.gov.zm/?page_id=1127|2022|25|CLASS ROOM BLOCK AT KATANGALIKA PRIMARY SCHOOL CONSTRUCTION OF A 1X3 KATANGALIKA PRIMARY SCHOOL|EDUCATION|Construction|MWALALA Katangalika PRIMARY
https://www.chamacouncil.gov.zm/?page_id=1127|2022|26|IRON SHEETS FOR MULUMBU AND KAPEMBE PRIMARY SCHOOL PROCUREMENT OF IRON SHEETS FOR RENOVATION OF 1X2 AT MULUMBU AND KAPEMBE PRIMARY SCHOOL|EDUCATION|procurement|MWALALA MULUMBU AND KAPEMBE PRIMARY SCHOOL
https://www.chamacouncil.gov.zm/?page_id=1127|2022|27|CLASS ROOM BLOCK AT SITWE PRIMARY SCHOOL REHABILITATION OF 1X3 CRB AT SITWE PRIMARY SCHOOL|EDUCATION|Renovation|NDUNDA Sitwe PRIMARY SCHOOL
https://www.chamacouncil.gov.zm/?page_id=1127|2022|28|MATERNITY WING IN SITWE CATCHMENT AREA CONSTRUCTION OF A MATERNITY WING IN SITWE|HEALTH|CONSTRUCTION|NDUNDA Sitwe PRIMARY SCHOOL
https://www.chamacouncil.gov.zm/?page_id=1127|2022|29|HEALTH POST IN MAIMBI CONSTRUCTION OF A HEALTH POST IN MAIMBI|HEALTH|construction|NKHANKHA Maimbi Disaster Component
https://www.chamacouncil.gov.zm/?page_id=1127|2022|26|IRON SHEETS FOR MULUMBU AND KAPEMBE PRIMARY SCHOOL PROCUREMENT OF IRON SHEETS FOR RENOVATION OF 1X2 AT MULUMBU AND KAPEMBE PRIMARY SCHOOL|EDUCATION|procurement|EASTERN CHAMA
https://www.chamacouncil.gov.zm/?page_id=1127|2023|1|POLICE MOTOR VEHICLE POLICE MOTOR VEHICLE|DEFENCE|procurement|CHAMA NORTH ALL WARDS
https://www.chamacouncil.gov.zm/?page_id=1127|2023|2|DESKS FOR SCHOOLS DESKS FOR SCHOOLS|EDUCATION|procurement|CHAMA NORTH ALL WARDS 3 PROVISION OF ELECTRICITY PROVISION OF ELECTRICITY SELECTED PUBLIC INSTITUTIONS UNDER CHAMA NORTH procurement CHAMA NORTH SELECTED WARDS
https://www.chamacouncil.gov.zm/?page_id=1127|2023|4|REFUSE BINS PROCUREMENT OF REFUSE BINS|WASTE MANAGEMENT|Procurement|KAMPEMBA CHAMA CENTRAL 5 CDF RADIO SENSITIZATION PROGRAMME CDF RADIO SENSITIZATION PROGRAMME INFORMATION RADIO PROGRAMME CHAMA NORTH
https://www.chamacouncil.gov.zm/?page_id=1127|2023|6|AMBULANCE FOR HEALTH DEPARTMENT AMBULANCE FOR HEALTH DEPARTMENT|HEALTH|procurement|CHAMA NORTH ALL WARDS 7 CHIEF MULILO PALACE CONSTRUCTION OF CHIEF MULILO PALACE TRADITONAL procurement Chisunga MULILO
https://www.chamacouncil.gov.zm/?page_id=1127|2023|8|HEALTH POST BETWEEN NCHUKA AND CHAFUKO AREA CONSTRUCTION OF HEALTH POST BETWEEN NCHUKA AND CHAFUKO WITH SOLAR POWER AND BOREHOLE|HEALTH|Construction|MBAZI CHAFUKO/NCHUKA AREA
https://www.chamacouncil.gov.zm/?page_id=1127|2023|9|MATERNITY ANNEX AT CHIBALE CLINIC AND BOREHOLE UPGRADE SOLAR ELECTRIFICATION OF MATERNITY ANNEX AT CHIBALE CLINIC AND BOREHOLE UPGRADE|HEALTH|Construction|NKHANKHA CHIBALE CLINIC
https://www.chamacouncil.gov.zm/?page_id=1127|2023|10|SEMI-DETACHED STAFF HOUSE FOR POLICE POST IN CHIBALE CONSTRUCTION OF SEMI-DETACHED STAFF FOR POLICE POST WITH SOLAR POWER|HEALTH|Construction|NKHANKHA CHIBALE POLICE POST
https://www.chamacouncil.gov.zm/?page_id=1127|2023|11|BOREHOLE AT KAMBWILI HEALTH POST SOLAR ELECTRIFICATION OF KAMBWILI HEALTH POST AND BOREHOLE UPGRADE|HEALTH|Construction|MPHALAUSENGA KAMBWILI HEALTH POST
https://www.chamacouncil.gov.zm/?page_id=1127|2023|12|HEALTH POST AT MALAMA CONSTRUCTION OF HEALTH POST AT MALAMA WITH SOLAR POWER|HEALTH|Construction|KALINKHU MALAMA HEALTH POST
https://www.chamacouncil.gov.zm/?page_id=1127|2023|13|POST IN KAPEMBE COMMUNITY CONSTRUCTION OF HEALTH POST AT KAPEMBE WITH SOLAR POWER AND BOREHOLE|HEALTH|Construction|MWALALA KAPEMBE HEALTH POST
https://www.chamacouncil.gov.zm/?page_id=1127|2023|14|BOREHOLE AT CHAMA POLICE STATION SOLAR POWERED BOREHOLE WITH CONCRETE STAND AT CHAMA POLICE STATION|DEFENCE|Construction|KAMPHEMBA CHIBALE POLICE POST
https://www.chamacouncil.gov.zm/?page_id=1127|2023|15|TWO (2) BOREHOLES AT DUNGULUNGU AND  CHIMBILIMA DRILLING OF TWO (2) BOREHOLES AT DUNGULUNGU AND  CHIMBILIMA|SANITATION|Construction|MPHALAUSENGA CHIMBILIMA AND DUNGULUNGU AREA
https://www.chamacouncil.gov.zm/?page_id=1127|2023|16|CLASS ROOM BLOCK AT CHAMA BOARDING SECONDARY SCHOOL COMPLETION OF CHAMA BOARDING 1X3 CRB|EDUCATION|completion|KAMPHEMBA CHAMA BOARDING SECONDARY SCHOOL
https://www.chamacouncil.gov.zm/?page_id=1127|2023|17|CLASS ROOM BLOCK AT NTHONKHO PRIMARY SCHOOL CONSTRUCTION OF 1X3 CRB WITH SOLAR POWER AT NTHONKHO PRIMARY SCHOOL|EDUCATION|Construction|KALINKHU NTHONKHO PRIMARY SCHOOL
https://www.chamacouncil.gov.zm/?page_id=1127|2023|18|KASANGANI CLASS ROOM BLOCK COMPLETION OF KASANGANI 1X3 CRB|EDUCATION|completion|KAOZI KASANGANI PRIMARY SCHOOL
https://www.chamacouncil.gov.zm/?page_id=1127|2023|19|TWO (2) BOREHOLES AT KAVILELE VILLAGE AND CHAMBAMBA DRILLING OF TWO (2) BOREHOLES AT KAVILELE VILLAGE AND CHAMBAMBA|SANITATION|Construction|MANTHEPA KAVILELE AND CHAMBAMBA VILLAGE
https://www.chamacouncil.gov.zm/?page_id=1127|2023|20|BOREHOLE AT TUKUTU COMMUNITY SCHOOL DRILLING OF BOREHOLE AT TUKUTU COMMUNITY SCHOOL|SANITATION|Construction|MBAZI TUKUTU COMMUNITY SCHOOL
https://www.chamacouncil.gov.zm/?page_id=1127|2023|21|BANANA BOAT FOR CHISUNGA CROSSING POINT PROCUREMENT OF BANANA FOR CHISUNGA CROSSING POINT|TRANSPORATION|procurement|Chisunga MULILO
https://www.chamacouncil.gov.zm/?page_id=1127|2023|22|CLASS ROOM BLOCK AT MULILO PRIMARY SCHOOL CONSTRUCTION OF 1X3 CRB WITH SOLAR POWER AT MULILO PRIMARY SCHOOL|EDUCATION|Construction|Chisunga MULILO Disaster Component
https://www.chamacouncil.gov.zm/?page_id=1127|2023|49|BOREHOLE AT TUKUTU COMMUNITY SCHOOL DRILLING OF BOREHOLE AT TUKUTU COMMUNITY SCHOOL|SANITATION|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2023|50|BANANA BOAT FOR CHISUNGA CROSSING POINT PROCUREMENT OF BANANA FOR CHISUNGA CROSSING POINT|TRANSPORATION|procurement|
https://www.chamacouncil.gov.zm/?page_id=1127|2023|51|CLASS ROOM BLOCK AT MULILO PRIMARY SCHOOL CONSTRUCTION OF 1X3 CRB WITH SOLAR POWER AT MULILO PRIMARY SCHOOL|EDUCATION|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||HEALTH POST IN MANDAHILL ZONE CONSTRUCTION OF A HEALTH POST IN MANDAHILL ZONE|HEALTH|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||CHAMA CHAMA SOUTH CHILUBALUBA MandaHill STAFF HOUSE AT MANDAHILL HEALTH POST CONSTRUCTION OF STAFF HOUSE AT MANDAHILL HEALTH POST|EDUCATION|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||CHAMA CHAMA SOUTH CHILUBALUBA MandaHill DORMITORY AT KALOVYA DAY SECONDARY SCHOOL CONSTRUCTION OF A DORMITORY AT KALOVYA DAY|EDUCATION|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||CHAMA CHAMA SOUTH CHILUBALUBA Kalovya CLASSROOM BLOCK AT LUCHENGA COMMUNITY SCHOOL CONSTRUCTION OF 1X3 CLASSROOM BLOCK AT LUCHENGA COMMUNITY SCHOOL|EDUCATION|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||CHAMA CHAMA SOUTH LUNZI Luchenga CLASSROOM BLOCK IN CHIZIZI ZONE CONSTRUCTION OF 1X3 CLASSROOM BLOCK IN CHIZIZI ZONE|EDUCATION|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||CHAMA CHAMA SOUTH LUNZI Chizizi TWO STAFF HOUSES AT ZANGWA PRIMARY SCHOOL CONSTRUCTION OF TWO STAFF HOUSE AT ZANGWA PRIMARY SCHOOL|EDUCATION|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||CHAMA CHAMA SOUTH CHIBUNGWE Zangwa HEALTH POST AT NKHOKA IN CHIBUNGWE ZONE CONSTRUCTION OF A HEALTH POST AT NKHOKA IN CHIBUNGWE|HEALTH|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||CHAMA CHAMA SOUTH CHIBUNGWE Nkhoka LUNGA HEALTH POST CONSTRUCTION OF LUNGA HEALTH POST|HEALTH|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||CHAMA CHAMA SOUTH LUMEZI Lunga STAFF HOUSE AT LUNGA HEALTH POST CONSTRUCTION OF A STAFF HOUSE AT LUNGA HEALTH POST|HEALTH|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||CHAMA CHAMA SOUTH LUMEZI Lunga HEALTH POST IN CHIMPAMBA CONSTRUCTION OF A HEALTH POST IN CHIMPAMBA|HEALTH|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||CHAMA CHAMA SOUTH LUMEZI Chimpamba STAFF HOUSE AT CHIMPAMBA HEALTH POST CONSTRUCTION OF A STAFF HOUSE AT CHIMPAMBA HP|HEALTH|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||CHAMA CHAMA SOUTH LUMEZI Chimpamba STAFF HOUSE AT KANYOLONYOLO PRIMARY SCHOOL CONSTRUCTION OF A STAFF HOUSE AT KANYOLONYOLO PRIMARY SCHOOL|EDUCATION|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||CHAMA CHAMA SOUTH CHILENJE Chifunda STAFF HOUSE AT CHIFUNDA DAY CONSTRUCTION OF A STAFF HOUSE AT CHIFUNDA DAY|EDUCATION|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||CHAMA CHAMA SOUTH CHILENJE Chifunda CLASSROOM BLOCK AT CHIFUNDA DAY SECONDARY SCHOOL CONSTRUCTION OF 1X3 CLASSROOM BLOCK AT CHIFUNDA DAY|EDUCATION|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||CHAMA CHAMA SOUTH CHILENJE Chifunda MATERNITY WING AT PONDO HEALTH POST CONSTRUCTION OF A MATERNITY WING AT PONDO|HEALTH|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||CHAMA CHAMA SOUTH Chipala Pondo CLASSROOM BLOCK AT CHASATO PRIMARY SCHOOL CONSTRUCTION OF 1X3 CLASSROOM BLOCK AT CHASATO PRIMARY|EDUCATION|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||CHAMA CHAMA SOUTH VILIMUKULU Chasato CLASSROOM BLOCK AT CHIGOMA PRIMARY SCHOOL CONSTRUCTION OF 1X3 CLASSROOM BLOCK AT CHIGOMA PRIMARY|EDUCATION|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||CHAMA CHAMA SOUTH VILIMUKULU Chigoma STAFF HOUSE FOR CLINIC AT KALASA HEALTH POST CONSTRUCTION OF A STAFF HOUSE FOR CLINIC AT KALASA HP|HEALTH|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||CHAMA CHAMA SOUTH MAPAMBA Kalasa CLASSROOM BLOCK AT CHITEMWA PRIMARY SCHOOL CONSTRUCTION OF 1X3 CLASSROOM BLOCK AT CHITEMWA PRIMARY|EDUCATION|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||CHAMA CHAMA SOUTH MAPAMBA Chitemwa STAFF HOUSE AT NG’ANJO BAZIMU HEALTH POST CONSTRUCTION OF A STAFF HOUSE AT NG’ANJO BAZIMU HEALTH POST|HEALTH|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||CHAMA CHAMA SOUTH MABINGA Ng’anjo Bazimu MARKET SHELTER IN TEMBWE CENTRAL CONSTRUCTION OF A MARKET SHELTER IN TEMBWE|COMMERCE|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||CHAMA CHAMA SOUTH MABINGA Tembwe VIP TOILETS AT TEMBWE MARKET SHELTER CONSTRUCTION OF VIP TOILETS AT TEMBWE MARKET SHELTER|COMMERCE|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||CHAMA CHAMA SOUTH MABINGA Tembwe MATERNITY ANNEX AT MUNDALANGA HEALTH POST CONSTRUCTION OF MUNDALANGA MATERNITY ANNEX|HEALTH|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||CHAMA CHAMA SOUTH BAZIMU Mundalanga CHAMPHANDA PRIMARY SCHOOL CONSTRUCTION OF A 1X3 AT CHAMPHANDA PRIMARY SCHOOL|EDUCATION|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||CHAMA CHAMA SOUTH BAZIMU Mundalanga STAFF HOUSE AT CHAMPANDA COMMUNITY SCHOOL CONSTRUCTION OF STAFF HOUSE AT CHAMPANDA COMMUNITY SCHOOL|HEALTH|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||CHAMA CHAMA SOUTH BAZIMU Mundalanga CLASSROOM BLOCK AT KAPHAMPHA PRIMARY CONSTRUCTION OF 1X3 CLASSROOM BLOCK AT KAPHAMPHA PRIMARY|EDUCATION|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||CHAMA CHAMA SOUTH LUPAMAZI Kaphampa STAFF HOUSE AT ZIBAMBALE PRIMARY SCHOOL CONSTRUCTION OF A STAFF HOUSE AT ZIBAMBALE PRIMARY|EDUCATION|Construction|CHAMA CHAMA SOUTH LUPAMAZI Zibambale Disaster Component
https://www.chamacouncil.gov.zm/?page_id=1127|2023|1|POLICE MOTOR VEHICLE POLICE MOTOR VEHICLE|DEFENCE|PROCUREMENT|ENTIRE CONSTITUENCY
https://www.chamacouncil.gov.zm/?page_id=1127|2023|2|AMBULANCE VEHICLE AMBULANCE VEHICLE|HEALTH|PROCUREMENT|ENTIRE CONSTITUENCY
https://www.chamacouncil.gov.zm/?page_id=1127|2023|3|PROCUREMENT OF DESKS PROCUREMENT OF DESKS|EDUCATION|PROCUREMENT|ENTIRE CONSTITUENCY
https://www.chamacouncil.gov.zm/?page_id=1127|2023|4|PROVISION OF ELECTRICITY PROVISION OF ELECTRICITY|ENERGY|PROCUREMENT|SELECTED WARDS
https://www.chamacouncil.gov.zm/?page_id=1127|2023|5|RADIO PROGRAMME RADIO PROGRAMME (PROCUREMENT OF BOOSTERS FOR KWENJE RADIO SENSITIZATION OF RADIO COVERAGE)|INFORMATION|PROCUREMENT|ENTIRE CONSTITUENCY
https://www.chamacouncil.gov.zm/?page_id=1127|2023|6|CHIEFS PALACE FOR CHIEF TEMBWE CONSTRUCTION OF CHIEFS PALACE FOR CHIEF TEMBWE|TRADITIONAL/CULTURE|CONSTRUCTION|MABINGA Tembwe Central
https://www.chamacouncil.gov.zm/?page_id=1127|2023|7|MOTOR GRADER PROCUREMENT OF MOTOR GRADER, CAT BRAND|TRANSPORT|PROCUREMENT|ENTIRE CONSTITUENCY
https://www.chamacouncil.gov.zm/?page_id=1127|2023|8|TIPPER TRUCK PROCUREMENT OF TIPPER TRUCK|TRANSPORT|PROCUREMENT|ENTIRE CONSTITUENCY
https://www.chamacouncil.gov.zm/?page_id=1127|2023|9|ZEBE BROWN OFF SCHOOL ZEBE 1X3 CRB BLOWN OFF ROOF|EDUCATION|Construction|CHILENJE ZEBE
https://www.chamacouncil.gov.zm/?page_id=1127|2023|10|SAMBAKO BLOWN OF ROOF SAMBAKO 1X2 BLOWN OF ROOF|EDUCATION|Construction|LUPAMAZI KAPHAMPA
https://www.chamacouncil.gov.zm/?page_id=1127|2023|11|MUNDALANGA HP BLOWN OF ROOF MUNDALANGA HP BLOWN OF ROOF|HEALTH|Construction|BAZIMU Mundalanga
https://www.chamacouncil.gov.zm/?page_id=1127|2023|12|BOREHOLE AT MANDA HILL PRIMARY SCHOOL BOREHOLE AT MANDA HILL PRIMARY SCHOOL|EDUCATION|Construction|CHILUBALUBA MANDA HILL
https://www.chamacouncil.gov.zm/?page_id=1127|2023|13|MANGA CLINIC BLOWN OFF ROOF MANGA CLINIC BLOWN OFF ROOF|HEALTH|Construction|VILIMUKULU MANGA Disaster Component
