source_file|category|year|constituency|page|extraction_method|row_data
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"001 | Residential | 25,200 |  |  | 27,040 |  | 28,932"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"003 | Industrial | 7,650 |  |  | 8,208 |  | 8,783"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|" | SubItem Total |  | 32,850 |  | 35,248 |  | 37,715"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"001 | Personal levy | 43,995 |  |  | 47,207 |  | 50,511"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|" | SubItem Total |  | 43,995 |  | 47,207 |  | 50,511"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"CODE | REVENUE DESCRIPTION | APPROVED
BUDGET 2024 |  |  | REVISED
BUDGET 2025 |  | BUDGET
ESTIMATE 2026"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"02 | Fees and Charges |  |  |  |  |  | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"004 | Plan scrutiny fee | 50,850 |  |  | 54,562 |  | 58,381"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"007 | Rentals/lease of Council’s properties | 90,000 |  |  | 96,570 |  | 103,330"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"008 | Non-Land Application forms fees | 28,400 |  |  | 30,473 |  | 32,606"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"013 | Market fees | 109,500 |  |  | 117,494 |  | 125,718"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"016 | Loading fees (buses, trucks, trains, taxies etc.) | 65,200 |  |  | 69,960 |  | 74,857"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"020 | Hire of halls | 2,500 |  |  | 2,683 |  | 2,870"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"033 | Refuse disposal | 121,200 |  |  | 130,048 |  | 139,151"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"045 | Notice of marriage fees | 2,500 |  |  | 2,683 |  | 2,870"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"051 | Farm produce Fee | 80,000 |  |  | 85,840 |  | 91,849"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"059 | Land Record | 9,000 |  |  | 9,657 |  | 10,333"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"063 | Billboards and banners | 22,955 |  |  | 24,631 |  | 26,355"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"066 | Penalties | 4,500 |  |  | 4,829 |  | 5,167"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"074 | Sale of Bid Documents | 40,000 |  |  | 42,920 |  | 45,924"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"082 | Telecommunication site rentals | 24,000 |  |  | 25,752 |  | 27,555"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"099 | Other fees and charges | 135,840 |  |  | 145,756 |  | 155,959"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|" | SubItem Total |  | 786,445 |  | 843,856 |  | 902,926"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"CODE | REVENUE DESCRIPTION | APPROVED
BUDGET 2024 |  |  | REVISED
BUDGET 2025 |  | BUDGET
ESTIMATE 2026"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"03 | Licenses |  |  |  |  |  | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"002 | Liquor licence | 19,800 |  |  | 21,245 |  | 22,733"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"003 | Firearm and ammunition licence | 8,550 |  |  | 9,174 |  | 9,816"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"005 | Dog licence | 1,500 |  |  | 1,610 |  | 1,722"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"099 | Other Licences | 1,800 |  |  | 1,931 |  | 2,067"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|" | SubItem Total |  | 31,650 |  | 33,960 |  | 36,338"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"CODE | REVENUE DESCRIPTION | APPROVED
BUDGET 2024 |  |  | REVISED
BUDGET 2025 |  | BUDGET
ESTIMATE 2026"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"04 | Levies |  |  |  |  |  | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"004 | Pole levy | 568 |  |  | 609 |  | 652"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"018 | Trading (Retail) Consumable groceries business | 171,000 |  |  | 183,483 |  | 196,327"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"031 | Car Wash | 470 |  |  | 504 |  | 540"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"032 | Hospitality | 17,220 |  |  | 18,477 |  | 19,770"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"099 | Other levies | 96,350 |  |  | 103,384 |  | 110,620"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|" | SubItem Total |  | 285,608 |  | 306,457 |  | 327,909"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|3|table|"CODE | REVENUE DESCRIPTION | APPROVED
BUDGET 2024 |  | REVISED
BUDGET 2025 | BUDGET
ESTIMATE 2026"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|3|table|"05 | Permits |  |  |  | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|3|table|"003 | Herbalist permit | 1,000 |  | 1,073 | 1,148"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|3|table|"010 | Extension of Business hours permits | 6,400 |  | 6,867 | 7,348"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|3|table|"011 | Social gathering permit | 2,000 |  | 2,146 | 2,296"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|3|table|"099 | Primary, Secondary and Tertiary permits | 104,500 |  | 112,129 | 119,978"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|3|table|" | SubItem Total |  | 113,900 | 122,215 | 130,770"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|3|table|"CODE | REVENUE DESCRIPTION | APPROVED
BUDGET 2024 |  | REVISED
BUDGET 2025 | BUDGET
ESTIMATE 2026"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|3|table|"06 | Charges |  |  |  | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|3|table|"001 | Service Charges Residential plots | 380,000 |  | 407,740 | 436,282"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|3|table|" | SubItem Total |  | 380,000 | 407,740 | 436,282"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|3|table|"CODE | REVENUE DESCRIPTION | APPROVED
BUDGET 2024 |  | REVISED
BUDGET 2025 | BUDGET
ESTIMATE 2026"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|3|table|"07 | Other Incomes |  |  |  | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|3|table|"002 | Surplus/ Deficit from Commercial Ventures | 775,000 |  | 831,575 | 889,785"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|3|table|"099 | Other Income | 20,000 |  | 21,460 | 22,962"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|3|table|" | SubItem Total |  | 795,000 | 853,035 | 912,747"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|3|table|"CODE | REVENUE DESCRIPTION | APPROVED
BUDGET 2024 |  | REVISED
BUDGET 2025 | BUDGET
ESTIMATE 2026"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|3|table|"08 | National Support (Grants) |  |  |  | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|3|table|"001 | Constituency Development Fund | 61,271,284 |  | 65,744,088 | 70,346,174"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|3|table|"002 | Roads Grant | 3,742,847 |  | 4,016,075 | 4,297,200"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|3|table|"003 | Health Grant | 5,559,779 |  | 5,865,643 | 6,383,238"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|3|table|"004 | Local Government Equalisation Fund | 12,407,498 |  | 13,313,246 | 14,245,173"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|3|table|"005 | Grants in lieu of Rates | 500,000 |  | 536,500 | 574,055"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|3|table|"099 | Other Grants | 428,963 |  | 460,277 | 492,497"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|3|table|" | SubItem Total |  | 83,910,372 | 89,935,829 | 96,338,337"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|3|table|"Grand Total | 86,379,819 | 92,585,546 | 99,173,535"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|4|table|"No | ECONOMIC CLASSIFICATION | 2022
APPROVED
BUDGET (K) | 2023
APPROVED
BUDGET (K) | 2024 BUDGET
ESTIMATE (K)"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|4|table|"21
22
27
31
32
42 | Personal Emoluments
Goods and Services
Subsidies to Non-Financial Enterprises
Non-Financial Assets
Financial Assets
Long term Liabilities- payable for more than one year | (0)
(0)
(0)
(0)
(0)
(0) | -
-
-
-
-
- | 9,341,088
14,388,035
16,298,162
39,217,609
6,984,926
150,000"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|4|table|" | Head Total | (0) | - | 86,379,819"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|5|table|"Code | Programme | 2022
Approved
Budget(K) | 2023
Approved
Budget(K) | 2024
Budget
Estimates(K)"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|5|table|"1
2
3
5
6
7
8
10
11
12
13
14
15 | Constituency Development
Local Governance
Integrated Development Planning
Public Health and Environmental Protection
Housing and Community Amenities
Recreation Culture and Religion
Education and Skills Development
Public Order and Safety
Management and Support Services
Resource Mobilisation and Management
District Health servcies
Veterinary services
Transport Services | (0) | -
-
-
-
-
-
-
-
-
-
-
-
- | 61,271,284
2,765,940
1,504,591
1,122,330
1,466,351
272,621
19,241
1,294,644
4,960,908
2,262,162
5,559,799
137,101
3,742,847"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|5|table|" |  | (0) |  | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|5|table|" |  | (0) |  | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|5|table|" |  | (0) |  | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|5|table|" |  | (0) |  | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|5|table|" |  | (0) |  | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|5|table|" |  | (0) |  | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|5|table|" |  | (0) |  | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|5|table|" |  | (0) |  | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|5|table|" |  | (0) |  | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|5|table|" |  | (0) |  | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|5|table|" |  | (0) |  | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|5|table|" |  | (0) |  | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|5|table|" | Head Total | (0) | - | 86,379,819"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|6|table|"PROGRAMME/SUB-PROGRAMME | 2022 BUDGET |  | 2023 BUDGET |  | 2024 BUDGET"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|6|table|" | Approved | Expendit
ure | Approved | Expendit
ure* | Estimate"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|7|table|"002 District Veterinary Services Coordination
15 Transport Services
001 Road Transport |  | (0)
(0)
(0) | (0)
(0)
(0) | -
-
- | (0)
(0)
(0) | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|7|table|"Head Total |  | (0) | (0) | - | (0) | 86,379,819"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|Page 8 OUTPUT BASED ANNUAL BUDGET
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|HEA 9509 CHAMA TOWN COUNCIL
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|D
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|The allocation per subprogramme is as follows; community policing K782,833, fire protection services
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|K341,256 and buliding regulation K170,553.92
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|Management and Support Services program has been allocated a total of K 4.9 million to facilitate for
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|the smooth operations of the institution. An allocation of K2.6 million will go towards human resources
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|and administration to cater for general operations of the Local Authority (LA). Executive management
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|has an allocation of K642,419 to provide an oversight role at the LA. Audit has an allocation of K432,500
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|to ensure that internal controls in the institution are upheld. Procurement has an allocation of K407,722
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|to ensure that procurement of goods and services is done according to set laws and regulations. ICT has
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|been allocated K402,850 to cater for software installation and to ensure that ICT policies are adhered to.
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|Accounting management has been allocated an amount of K211,592 to cater for dismatling of debt owed
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|to various institutions and individuals. The allocation will further enhance proper inventory of all Council
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|property. Lastly Public Relation has been allocated an amount of K168,145 to cater for information
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|dissemination and publication of the progress and happenings at the LA in order to bring the information
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|to the general public.
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|Resource Mobilsation programme has been allocated a total amount of K2.2 million which will be
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|channelled towards the procurement of two motorbikes for revenue collection especially in the outskirts
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|of the district, construction of checkpoint houses and construction of a parking bay at Munada area and
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|construction of a fence around North Luangwa lodge to enhance security. It will also cover salaries for all
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|accounting staff
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|District Health Services which is yet another devolved function has been allocted an amount of K5.3
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|million translating into K4.6 million for primary health services and K666,891 for district health
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|coordination. This will enhance health service provision in the district.
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|Veterinary Services has been allocated an amount of K137,101 to ensure animal health in the district is
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|improved and also reduce animal disease prevelance. This too is a devoved programme.
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|Lastly, Transport Services Programme has been allocateed an amount of K3.7 million to cater for road
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|8|text_fallback|maintanance in the district.
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|9|table|"ECONOMIC CLASSIFICATION | 2022 BUDGET |  |  |  | 2023 BUDGET |  | 2024 BUDGET"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|9|table|" | Approved | Expendit
ure |  |  | Approved | Expendit
ure* | Estimates"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|9|table|"02Use of Goods and Services
02General Operations
01
03Transfers
02Subsidies
01
04Assets
01Non-Financial Assets (Capital Expenditure)
02
02Financial Assets
01 | -
-
-
-
-
-
-
-
-
-
- | -
-
-
-
-
-
-
-
-
-
- |  |  | -
-
-
-
-
-
-
-
-
-
- | - | 3,063,564
3,063,564
3,063,564
16,298,162
16,298,162
16,298,162
41,909,558
34,924,632
34,924,632
6,984,926
6,984,926"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|9|table|" |  |  |  |  |  | - | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|9|table|" |  |  |  |  |  | - | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|9|table|" |  |  |  |  |  | - | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|9|table|" |  |  |  |  |  | - | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|9|table|" |  |  |  |  |  | - | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|9|table|" |  |  |  |  |  | - | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|9|table|" |  |  |  |  |  | - | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|9|table|" |  |  |  |  |  | - | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|9|table|" |  |  |  |  |  | - | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|9|table|" |  |  |  |  |  | - | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|9|table|"Programme Total | (0) | (0) |  |  | - | (0) | 61,271,284"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|10|table|"PROGRAMME/SUBPROGRAMME | 2022 BUDGET |  | 2023 BUDGET |  | 2024 BUDGET"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|10|table|" | Approved | Expendit
ure | Approved | Expendit
ure* | Estimates"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|10|table|"Programme Total | (0) | (0) |  |  | - (0) | 6611,2,27711,2,28844 | "
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|11|table|"Key Output and Output Indicator | 2022 |  | 2023 |  | 2024"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|11|table|" | Target | Actual | Target | Actual* | Target"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|11|table|"Empowerement funds disbursed
01 Percentage of grant amount disbursed to organized groups
02 Percentage of loan amount disbursed to organized groups | (0)
(0) | (0)
(0) | (0)
(0) | (0)
(0) | 100
100"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|11|table|"Skills development students and secondary boarding school pupils sponsored
01 Number of students sponsored under skills development bursaries scheme
02 Number of pupils sponsored at secondary boarding schools | (0)
(0) | (0)
(0) | (0)
(0) | (0)
(0) | 300
568"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|Page 12 OUTPUT BASED ANNUAL BUDGET
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|HEA 9509 CHAMA TOWN COUNCIL
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|D
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|Table 6 shows the programme output of the Constituency Development Fund (CDF). Under the Community
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|projects component, the LA has budgeted to procure two ambulances for the two constituencies of Chama
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|district for the District Health Office (DHO). The LA has also planned to procure seven (7) motorbikes for the
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|Chief returners for all the seven Chiefdoms in Chama district. Further, the LA has budgeted to procure
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|approximately 5000 more desks for Chama North which still has a desk deficit which was not planned for in
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|the previous year (2023). It should also be noted that that the LA, has included desks for all the new Class
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|Room Blocks (CRBs) constructions to be undertaken in 2024. Two maternity wings will be constructed in
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|Pondo, Chipala ward and at Chibale Rural Health Centre (RHC) in Nkhankha ward. In addition, two
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|reticulation systems will be installed within the district, one at the main police post, Kamphemba ward and
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|another one at Kambili Health Post (HP) in Mphalausenga ward. It should be noted that the district especially
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|for Chama South has received massive support from the World Vision projects who have been drilling
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|boreholes, installing water reticulation systems and constructing ablution blocks at all public institution in six
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|(6) wards of Chama South. Fifty (50) boreholes out of which twenty-eight (28) are water reticulation systems
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|have been drilled. World Vision has finished feasibility studies in six (6) more ward of Chama North and
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|Chama South and has indicated that they will provide water in the same ward. World Vison has further
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|indicated that they will be in the district for fifteen (15) years.
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|Further, the LA has planned to disburse 100 percent of the CDF loan and grant funds to organised groups
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|within the district. The turnout of applications for the empowerment component has been massive and the
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|LA has had no challenges in disbursing the funds. However, in terms of implementation, some of the
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|beneficiary of the grant component have not utilised the fund as intended. Currently the implementation
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|rate is at 54% and the LA authority intends to increase that to atleast 70% with more field monitoring and
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|evaluation for the year 2024.
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|Furthermore, the LA has planned to increase the number of pupils under the CDF bursaries component from
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|the 418 to 568 pupils in 2024. For skills development, the LA plans to increase the number of sponsorships
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|from 57 to 300 students in 2024. The current numbers of students are low due to the low interest levels by
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|the youth within the district to apply for skills development programmes as initially perceived. However,
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|after inviting Chipata trades institution within the district to conduct fasttracked processing of acceptance
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|letters for students, a good number of students showed up and applied for the sponsorship to be considered
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|in 2024. The LA will continue to sensitize and invite other reputable TEVETA accredited institutions within the
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|district to offer fasttracked processing of acceptance letters as it appears youths cannot afford to get
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|acceptance letters for skills courses outside the district.
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|12|text_fallback|Lastly, under the CDF administrative component, the LA plans to conduct ten (10) CDFC meetings to facilitate
